mm	phi	perc
0.000690534	10.5	0
0.000821188	10.25	0.04
0.000976563	10	0.01
0.001161335	9.75	0.02
0.001381068	9.5	0.02
0.001642376	9.25	0.03
0.001953125	9	0.02
0.00232267	8.75	0.04
0.002762136	8.5	0.09
0.003284752	8.25	0.26
0.00390625	8	0.52
0.00464534	7.75	0.67
0.005524272	7.5	0.86
0.006569503	7.25	1.4
0.0078125	7	2.07
0.009290681	6.75	2.52
0.011048543	6.5	3.12
0.013139006	6.25	4.03
0.015625	6	5.17
0.018581361	5.75	5.93
0.022097087	5.5	6.96
0.026278013	5.25	8.03
0.03125	5	8.68
0.037162722	4.75	6.86
0.044194174	4.5	8.79
0.052556026	4.25	6.67
0.0625	4	5.68
0.074325445	3.75	4.78
0.088388348	3.5	4.27
0.105112052	3.25	3.77
0.125	3	3.14
0.148650889	2.75	2.22
0.176776695	2.5	1.29
0.210224104	2.25	0.59
0.25	2	1.45
0.297301779	1.75	0
0.353553391	1.5	0
0.420448208	1.25	0
0.5	1	0
0.594603558	0.75	0
0.707106781	0.5	0
0.840896415	0.25	0
1	0	0
1.189207115	-0.25	0
1.414213562	-0.5	0
1.681792831	-0.75	0
2	-1	0
2.37841423	-1.25	0
2.828427125	-1.5	0
3.363585661	-1.75	0
4	-2	0
