mm	phi	PDF
0	NA	6.8
0.005	7.64385619	13.64
0.01	6.64385619	12.73
0.015	6.058893689	10.6
0.02	5.64385619	7.86
0.025	5.321928095	5.53
0.03	5.058893689	3.61
0.035	4.836501268	2.64
0.04	4.64385619	1.96
0.045	4.473931188	1.65
0.05	4.321928095	1.33
0.055	4.184424571	1.47
0.06	4.058893689	1.38
0.065	3.943416472	1.43
0.07	3.836501268	1.98
0.075	3.736965594	1.8
0.08	3.64385619	2.29
0.085	3.556393349	2.41
0.09	3.473931188	2.52
0.095	3.395928676	2.42
0.1	3.321928095	2.4
0.105	3.251538767	2.22
0.11	3.184424571	1.97
0.115	3.120294234	1.65
0.12	3.058893689	1.36
0.125	3	1.09
0.13	2.943416472	0.84
0.135	2.888968688	0.64
0.14	2.836501268	0.48
0.145	2.785875195	0.35
0.15	2.736965594	0.25
0.155	2.689659879	0.19
0.16	2.64385619	0.12
0.165	2.59946207	0.09
0.17	2.556393349	0.07
0.175	2.514573173	0.05
0.18	2.473931188	0.03
0.185	2.434402824	0.03
0.19	2.395928676	0.02
0.195	2.358453971	0.02
0.2	2.321928095	0.01
0.205	2.286304185	0.01
0.21	2.251538767	0
0.215	2.217591435	0.01
0.22	2.184424571	0.01
0.225	2.152003093	0.01
0.23	2.120294234	0
0.235	2.089267338	0
0.24	2.058893689	0.01
0.245	2.029146346	0
0.25	2	0.02
0.255	1.971430848	0
